ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
1.24.16.123,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.126,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.127,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.131,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.135,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.141,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.142,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.146,ipv4,False,AbuseIPDB|Stamparm IPsum,2,crowd-sourced,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.152,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.153,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.154,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.158,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.161,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.162,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.163,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.24.16.164,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
